Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
FIFA 17,PS4,2016,Sports,Electronic Arts,0.9,6.75,0.09,1.33,9.07,85,41,4.9,442,E
Uncharted 4: A Thiefs End,PS4,2016,Shooter,Sony Computer Entertainment,2.92,2.98,0.19,1.18,7.28,93,113,7.9,7238,T
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,2.15,2.57,0.16,0.93,5.8,77,86,3.5,1208,M
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.45,2.81,0.23,0.81,5.3,89,33,8.4,896,M
Tom Clancys The Division,PS4,2016,Shooter,Ubisoft,1.37,1.85,0.15,0.63,4,80,64,7,2234,M
Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,2.25,0.98,0,0.33,3.56,78,18,3.2,315,M
Battlefield 1,XOne,2016,Shooter,Electronic Arts,2.14,0.97,0.01,0.32,3.44,87,38,8.1,470,M
Final Fantasy XV,PS4,2016,Role-Playing,Square Enix,1.01,1.12,0.81,0.42,3.37,82,102,7.7,2659,T
FIFA 17,XOne,2016,Sports,Electronic Arts,0.72,2.3,0,0.22,3.24,84,51,5.4,210,E
Overwatch,PS4,2016,Shooter,Activision,0.99,1.03,0.16,0.4,2.57,90,31,6.1,1408,T
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.57,0.37,0.02,0.43,2.39,88,47,6.6,174,E
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.63,1.32,0.07,0.37,2.38,76,91,6.3,648,M
Madden NFL 17,PS4,2016,Sports,Electronic Arts,1.65,0.25,0,0.43,2.33,82,35,4.6,93,E
Tom Clancys The Division,XOne,2016,Shooter,Ubisoft,1.37,0.72,0,0.21,2.3,80,33,6.9,621,M
Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,1.45,0.59,0,0.21,2.26,84,98,6.3,848,M
Mafia III,PS4,2016,Action,Take-Two Interactive,0.48,1.24,0.03,0.32,2.07,68,66,5.1,1194,M
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.56,1.1,0.07,0.31,2.04,82,94,7.9,723,M
Madden NFL 17,XOne,2016,Sports,Electronic Arts,1.57,0.02,0,0.19,1.78,83,30,5.7,43,E
No Mans Sky,PS4,2016,Action,Hello Games,0.66,0.77,0.03,0.28,1.75,71,94,4.5,5146,T
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.69,0.47,0.34,0.24,1.74,89,69,8.7,1979,M
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.62,0.85,0.01,0.13,1.61,91,91,7.4,619,E
Overwatch,XOne,2016,Shooter,Activision,0.81,0.4,0,0.12,1.33,91,18,5.6,685,T
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,1.1,0.06,0,0.14,1.3,90,17,6,98,E
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.45,0.49,0.11,0.19,1.23,79,60,8.3,208,T
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.56,0.32,0.18,0.09,1.13,76,74,8,276,E10+
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.41,0.51,0.01,0.18,1.1,88,62,7.7,629,M
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.59,0.32,0.09,0.09,1.09,86,74,8.4,340,T
Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.46,0.38,0.05,0.17,1.06,89,61,8.4,769,M
Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.3,0.18,0.5,0.05,1.03,81,71,8.7,92,E
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.32,0.51,0,0.16,0.99,79,38,6.1,161,T
Street Fighter V,PS4,2016,Fighting,Capcom,0.42,0.28,0.09,0.15,0.94,77,80,3.4,1233,T
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.5,0.35,0,0.08,0.94,77,27,6.4,199,M
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.29,0.38,0.1,0.13,0.91,72,57,7.7,123,T
Titanfall 2,XOne,2016,Shooter,Electronic Arts,0.58,0.23,0,0.08,0.9,87,31,8,279,M
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.19,0.55,0.01,0.14,0.89,78,61,7.5,91,E10+
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.04,0.77,0,0.05,0.86,68,11,7.9,21,E
LEGO Marvels Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.28,0.4,0.01,0.13,0.82,71,70,7,87,E10+
WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.22,0.45,0,0.13,0.8,69,51,6.9,93,T
Mafia III,XOne,2016,Action,Take-Two Interactive,0.34,0.33,0,0.06,0.73,67,21,4.6,286,M
Watch Dogs 2,XOne,2016,Action,Ubisoft,0.33,0.31,0,0.06,0.7,83,10,7.5,160,M
The Last Guardian,PS4,2016,Action,Sony Computer Entertainment,0.25,0.26,0.08,0.1,0.7,82,99,7.6,1410,T
Overwatch,PC,2016,Shooter,Activision,0.28,0.31,0,0.05,0.65,91,62,6.8,4160,T
Quantum Break,XOne,2016,Action,Microsoft Game Studios,0.38,0.2,0.01,0.06,0.64,77,106,6.8,1682,M
Paper Mario: Color Splash,WiiU,2016,Role-Playing,Nintendo,0.29,0.23,0.06,0.05,0.64,76,73,6.9,226,E
Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,Electronic Arts,0.37,0.18,0,0.06,0.6,80,64,8,81,E10+
Rocket League,PS4,2016,Sports,505 Games,0.07,0.44,0,0.09,0.6,85,50,8.7,1302,E
Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.07,0.43,0,0.09,0.59,69,18,8,13,E
Mario Party: Star Rush,3DS,2016,Misc,Nintendo,0.17,0.25,0.11,0.04,0.57,68,38,6.6,18,E
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.04,0.34,0.12,0.06,0.56,85,62,7.5,498,E
Battlefield 1,PC,2016,Shooter,Electronic Arts,0.17,0.32,0,0.04,0.53,88,54,7.5,1263,M
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.21,0.23,0,0.09,0.53,81,29,7.7,114,E10+
Until Dawn: Rush of Blood,PS4,2016,Adventure,Sony Computer Entertainment,0.24,0.17,0,0.09,0.5,72,50,8.1,77,M
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.19,0.22,0,0.08,0.5,84,59,7.6,536,M
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.15,0.24,0.02,0.07,0.48,84,39,8.5,221,M
Final Fantasy XV,XOne,2016,Role-Playing,Square Enix,0.28,0.15,0.01,0.04,0.48,83,11,6.7,290,T
Dishonored 2,XOne,2016,Action,Bethesda Softworks,0.28,0.14,0,0.04,0.46,88,24,6.7,168,M
Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.37,0,0,0.09,0.45,75,60,7.3,96,M
EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.26,0.15,0,0.04,0.45,76,42,5.9,78,T
Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games,0.3,0.1,0,0.04,0.44,87,14,8.6,521,
Tom Clancys The Division,PC,2016,Shooter,Ubisoft,0.23,0.16,0,0.04,0.43,79,33,5.8,1200,M
NHL 17,XOne,2016,Sports,Electronic Arts,0.36,0.02,0,0.04,0.42,77,23,4.1,43,E10+
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.12,0.17,0.08,0.06,0.42,66,45,7.8,50,T
DiRT Rally,PS4,2016,Racing,Codemasters,0.07,0.28,0,0.06,0.42,85,46,8,203,E
Life is Strange,PS4,2016,Adventure,Square Enix,0.16,0.15,0.04,0.06,0.41,85,23,8.6,695,M
NHL 17,PS4,2016,Sports,Electronic Arts,0.23,0.1,0,0.07,0.4,78,26,5.9,71,E10+
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,0.1,0.17,0.08,0.05,0.4,77,78,8.2,234,E10+
LEGO Marvels Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.22,0.14,0,0.04,0.4,71,18,5.4,16,E10+
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.08,0.22,0.03,0.05,0.38,48,43,3.9,216,M
Star Fox: Zero,WiiU,2016,Shooter,Nintendo,0.18,0.1,0.08,0.03,0.38,69,82,7.4,669,E10+
Lego Star Wars: The Force Awakens,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.18,0.17,0,0.03,0.38,76,11,7,18,E10+
TrackMania Turbo,PS4,2016,Action,Ubisoft,0.04,0.28,0,0.06,0.38,81,52,7.9,111,E
World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.14,0.2,0,0.03,0.37,88,62,7.4,561,T
Mirrors Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.12,0.17,0.03,0.06,0.37,69,50,4.7,589,T
Rocket League,XOne,2016,Sports,505 Games,0.09,0.25,0,0.03,0.37,87,22,8.3,199,E
Batman: Return to Arkham,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.09,0.22,0,0.06,0.37,73,28,8.5,84,T
WWE 2K17,XOne,2016,Sports,Take-Two Interactive,0.17,0.16,0,0.03,0.36,68,12,5.6,29,T
Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.19,0.09,0.02,0.06,0.36,68,55,6.8,405,T
Assassins Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.06,0.22,0,0.05,0.33,72,33,7.3,60,M
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,0.23,0.07,0,0.03,0.33,81,11,8.5,52,T
Sid Meiers Civilization VI,PC,2016,Strategy,Take-Two Interactive,0.1,0.2,0,0.02,0.33,88,84,7.2,738,E10+
Dead Rising 4,XOne,2016,Action,Microsoft Game Studios,0.16,0.12,0,0.03,0.31,73,79,4.4,297,M
PlayStation VR Worlds,PS4,2016,Misc,Sony Computer Entertainment,0.09,0.15,0.02,0.04,0.3,59,48,7,78,M
UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0.22,0.05,0.04,0.3,72,7,6.6,8,E
Steep,PS4,2016,Sports,Ubisoft,0.07,0.18,0,0.05,0.3,72,55,6.5,148,T
World of Final Fantasy,PSV,2016,Role-Playing,Square Enix,0.06,0.1,0.08,0.05,0.28,77,5,8.5,51,E10+
LEGO Harry Potter Collection,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.2,0,0.04,0.28,73,17,8.1,7,E10+
LEGO Marvels Avengers,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.13,0.1,0.01,0.02,0.26,69,4,6.8,15,E10+
Mafia III,PC,2016,Action,Take-Two Interactive,0.11,0.13,0,0.02,0.26,63,29,3.2,927,M
Dragon Ball: Xenoverse 2,XOne,2016,Action,Namco Bandai Games,0.15,0.09,0,0.02,0.26,73,8,7.4,30,T
XCOM 2,PC,2016,Strategy,Take-Two Interactive,0.1,0.14,0,0.02,0.26,88,104,7.1,1242,T
Dragon Ball: Fusions,3DS,2016,Role-Playing,Namco Bandai Games,0.04,0,0.2,0.01,0.24,68,15,7.7,22,T
Skylanders Imaginators,PS4,2016,Platform,Activision,0.09,0.11,0,0.04,0.24,79,49,5.2,18,E10+
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,0.15,0.07,0,0.02,0.24,83,18,7.2,180,M
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.09,0.04,0.08,0.03,0.23,87,49,8.2,181,T
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,Namco Bandai Games,0.07,0.03,0.1,0.02,0.23,69,33,7.7,55,T
Mega Man Legacy Collection,3DS,2016,Platform,Capcom,0.15,0,0.05,0.02,0.22,77,27,7,28,E
Battleborn,XOne,2016,Shooter,Take-Two Interactive,0.16,0.04,0,0.02,0.22,71,20,7.3,172,T
LEGO Marvels Avengers,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.08,0.11,0.02,0.02,0.22,60,4,6.9,16,E10+
Call of Duty: Infinite Warfare,PC,2016,Shooter,Activision,0.08,0.12,0,0.02,0.22,73,16,3,468,M
Far Cry: Primal,PC,2016,Action,Ubisoft,0.05,0.15,0,0.02,0.22,74,18,4.9,391,M
